ID_Lead,Taille_Entreprise,Poste_Contact,Secteur,Source_Lead,Temps_Sur_Site_Sec,Pages_Vues,Emails_Ouverts,Derniere_Activite_Jours,Converti
LD-00000,11-50,Operationnel,Sante,Linkedin,717,1,6,54,1
LD-00001,200+,Operationnel,Education,Cold Call,26,4,0,52,0
LD-00002,51-200,Directeur,Education,Cold Call,68,6,9,36,0
LD-00003,11-50,Operationnel,Retail,Webinar,119,3,4,79,0
LD-00004,1-10,Operationnel,Industrie,Emailing,117,3,3,38,0
LD-00005,1-10,Manager,Education,Linkedin,114,3,9,44,0
LD-00006,1-10,Operationnel,Industrie,Emailing,34,4,2,82,0
LD-00007,51-200,Manager,Tech,Linkedin,28,1,1,87,0
LD-00008,11-50,Stagiaire,Industrie,Linkedin,52,4,8,47,0
LD-00009,51-200,Operationnel,Sante,Linkedin,442,4,7,29,1
LD-00010,1-10,Stagiaire,Sante,Emailing,21,4,9,51,0
LD-00011,200+,Stagiaire,Education,Site Web,254,1,1,41,0
LD-00012,51-200,Directeur,Industrie,Emailing,255,2,5,86,0
LD-00013,1-10,Operationnel,Education,Linkedin,298,1,2,64,0
LD-00014,1-10,Manager,Retail,Webinar,391,2,2,88,0
LD-00015,1-10,Operationnel,Sante,Cold Call,54,2,4,48,0
LD-00016,11-50,Operationnel,Education,Linkedin,45,3,6,77,0
LD-00017,11-50,Directeur,Retail,Webinar,112,2,6,22,1
LD-00018,11-50,Stagiaire,Education,Site Web,55,5,9,17,0
LD-00019,1-10,Manager,Industrie,Linkedin,238,5,0,86,0
LD-00020,11-50,VP/C-Level,Industrie,Webinar,181,3,6,5,1
LD-00021,1-10,Manager,Industrie,Linkedin,374,5,6,61,1
LD-00022,1-10,Directeur,Industrie,Emailing,15,3,5,89,0
LD-00023,11-50,Stagiaire,Tech,Webinar,443,8,5,6,1
LD-00024,11-50,Operationnel,Retail,Emailing,62,8,1,53,0
LD-00025,51-200,Operationnel,Retail,Emailing,121,4,2,81,0
LD-00026,1-10,Manager,Industrie,Webinar,103,1,2,17,1
LD-00027,11-50,VP/C-Level,Tech,Cold Call,257,0,2,59,0
LD-00028,11-50,Operationnel,Industrie,Webinar,98,3,1,39,0
LD-00029,1-10,Manager,Tech,Cold Call,517,4,8,54,1
LD-00030,11-50,Operationnel,Industrie,Linkedin,419,3,5,48,1
LD-00031,1-10,Manager,Sante,Linkedin,370,6,1,37,1
LD-00032,1-10,Operationnel,Sante,Webinar,13,4,2,48,0
LD-00033,200+,VP/C-Level,Education,Linkedin,346,4,9,68,1
LD-00034,200+,Manager,Industrie,Site Web,273,3,5,78,0
LD-00035,51-200,Operationnel,Retail,Emailing,19,2,3,77,0
LD-00036,11-50,Operationnel,Education,Emailing,20,5,6,27,0
LD-00037,1-10,Operationnel,Sante,Cold Call,19,4,5,88,0
LD-00038,11-50,Operationnel,Industrie,Linkedin,2,3,5,27,1
LD-00039,11-50,Operationnel,Education,Cold Call,143,5,2,72,0
LD-00040,1-10,Directeur,Industrie,Emailing,652,2,7,63,1
LD-00041,11-50,Manager,Sante,Emailing,103,2,8,52,0
LD-00042,1-10,Manager,Education,Linkedin,140,2,5,47,0
LD-00043,200+,Operationnel,Sante,Site Web,619,3,1,21,0
LD-00044,1-10,Directeur,Tech,Site Web,53,3,0,57,0
LD-00045,11-50,Manager,Sante,Linkedin,351,3,2,75,0
LD-00046,11-50,Stagiaire,Industrie,Linkedin,142,0,2,42,0
LD-00047,11-50,Manager,Retail,Cold Call,151,4,7,48,0
LD-00048,11-50,Manager,Sante,Linkedin,75,4,4,27,0
LD-00049,1-10,Stagiaire,Retail,Site Web,148,2,0,72,0
LD-00050,200+,Operationnel,Tech,Linkedin,13,4,3,33,0
LD-00051,51-200,Operationnel,Education,Cold Call,260,2,6,76,0
LD-00052,200+,Operationnel,Education,Cold Call,60,1,4,35,0
LD-00053,51-200,Directeur,Retail,Cold Call,393,1,9,16,1
LD-00054,11-50,Directeur,Education,Cold Call,82,1,5,36,0
LD-00055,200+,Manager,Sante,Webinar,27,1,9,66,0
LD-00056,1-10,Operationnel,Retail,Linkedin,214,2,3,76,0
LD-00057,1-10,Operationnel,Industrie,Emailing,32,1,1,56,0
LD-00058,1-10,Manager,Sante,Linkedin,252,5,8,17,1
LD-00059,11-50,Manager,Sante,Webinar,620,2,1,20,1
LD-00060,11-50,Stagiaire,Sante,Cold Call,272,1,1,85,0
LD-00061,1-10,Manager,Industrie,Webinar,4,3,1,84,0
LD-00062,51-200,Directeur,Tech,Site Web,164,5,0,8,0
LD-00063,11-50,Operationnel,Education,Site Web,213,3,2,18,0
LD-00064,1-10,Stagiaire,Retail,Linkedin,314,3,5,18,0
LD-00065,11-50,Manager,Tech,Linkedin,10,1,6,18,1
LD-00066,1-10,Operationnel,Retail,Emailing,117,2,0,2,0
LD-00067,51-200,Operationnel,Education,Emailing,137,3,4,76,0
LD-00068,1-10,Operationnel,Industrie,Site Web,33,2,4,72,0
LD-00069,200+,Operationnel,Sante,Cold Call,70,4,0,51,0
LD-00070,51-200,Manager,Sante,Webinar,104,4,3,10,0
LD-00071,1-10,Manager,Industrie,Emailing,322,4,9,75,0
LD-00072,1-10,Operationnel,Tech,Emailing,477,2,0,14,0
